"","Player","Position","Week 1","Week 2","Week 3","Week 4","Week 5","Week 6","Week 7","Week 8","Week 9","Week 10","Week 11","Week 12","Week 13","Week 14","Week 15","Week 16"
"1","Aaron Rodgers","QB",22.49,21.04,21.13,22.33,20.76,21.31,NA,20.02,19.47,22.52,20.76,20.02,22.61,21.22,21.13,21.69
"2","Deshaun Watson","QB",22.44,20.42,21.55,20.99,20.99,21.55,19.85,21.74,20.42,NA,20.99,21.08,22.31,21.84,20.14,20.42
"3","Cam Newton","QB",20.57,19.88,21,NA,21,19.7,18.77,20.25,20.9,18.67,19.41,20.43,19.7,20.35,20.07,20.16
"4","Russell Wilson","QB",19.81,20.11,20.39,20.11,19.93,19.84,NA,19.84,20.11,18.82,19.93,19.56,20.3,19.74,19.47,20.67
"5","Tom Brady","QB",19.81,19.46,20.26,20.92,20.84,20.23,19.89,19.8,20.06,19.63,NA,20.49,19.8,20.06,18.85,20.84
"6","Andrew Luck","QB",19.52,17.43,16.26,17.43,16.18,17.68,18.26,16.93,NA,17.26,17.76,18.34,16.68,16.68,17.43,17.92
"7","Carson Wentz","QB",19.14,19.33,21.08,19.59,19.94,19.86,20.38,19.33,NA,20.3,18.98,20.82,20.65,19.33,19.16,19.33
"8","Matthew Stafford","QB",18.58,16.91,16.83,16.83,17.32,NA,17.32,17.73,16.35,17.32,17.89,18.3,17.16,17.48,17.48,16.43
"9","Philip Rivers","QB",18.47,17.17,16.46,17.56,17.8,17.64,17.49,NA,17.01,17.01,17.72,18.43,16.3,18.2,16.7,17.56
"10","Kirk Cousins","QB",18.24,18.57,20.21,17.97,17.88,20.3,19.18,19.18,19.7,NA,19,19,17.71,18.83,20.21,19.61
"11","Jared Goff","QB",18.03,19.16,18.03,17.95,17.62,17.86,17.62,17.95,17.14,18.59,18.19,NA,17.78,17.86,17.62,18.03
"12","Drew Brees","QB",18,19.05,16.96,17.84,18.65,NA,17.45,16.8,17.76,17.92,17.76,18.01,17.2,17.92,17.28,17.6
